customer_id,customer_name,customer_email,customer_status,total_rentals,total_revenue,active_rental_days,unique_films_rented,film_revenue,store_id,total_rentals_per_store,total_store_revenue,rental_month,monthly_rentals,monthly_revenue
5,"ELIZABETH BROWN",ELIZABETH.BROWN@sakilacustomer.org,Active,7,27.93,6,7,27.93,1,7,27.93,2005-08,7,27.93
5,"ELIZABETH BROWN",ELIZABETH.BROWN@sakilacustomer.org,Active,2,2.98,2,2,2.98,2,2,2.98,2005-05,2,2.98
5,"ELIZABETH BROWN",ELIZABETH.BROWN@sakilacustomer.org,Active,4,16.96,4,4,16.96,2,4,16.96,2005-06,4,16.96
5,"ELIZABETH BROWN",ELIZABETH.BROWN@sakilacustomer.org,Active,7,25.93,6,7,25.93,2,7,25.93,2005-07,7,25.93
5,"ELIZABETH BROWN",ELIZABETH.BROWN@sakilacustomer.org,Active,6,25.94,6,6,25.94,2,6,25.94,2005-08,6,25.94
5,"ELIZABETH BROWN",ELIZABETH.BROWN@sakilacustomer.org,Active,1,0.99,1,1,0.99,2,1,0.99,2006-02,1,0.99
6,"JENNIFER DAVIS",JENNIFER.DAVIS@sakilacustomer.org,Active,2,3.98,2,2,3.98,1,2,3.98,2005-05,2,3.98
6,"JENNIFER DAVIS",JENNIFER.DAVIS@sakilacustomer.org,Active,2,4.98,2,2,4.98,1,2,4.98,2005-06,2,4.98
6,"JENNIFER DAVIS",JENNIFER.DAVIS@sakilacustomer.org,Active,4,12.96,4,4,12.96,1,4,12.96,2005-07,4,12.96
6,"JENNIFER DAVIS",JENNIFER.DAVIS@sakilacustomer.org,Active,7,34.93,5,7,34.93,1,7,34.93,2005-08,7,34.93
6,"JENNIFER DAVIS",JENNIFER.DAVIS@sakilacustomer.org,Active,1,4.99,1,1,4.99,2,1,4.99,2005-05,1,4.99
6,"JENNIFER DAVIS",JENNIFER.DAVIS@sakilacustomer.org,Active,2,3.98,2,2,3.98,2,2,3.98,2005-06,2,3.98
6,"JENNIFER DAVIS",JENNIFER.DAVIS@sakilacustomer.org,Active,5,13.95,5,5,13.95,2,5,13.95,2005-07,5,13.95
6,"JENNIFER DAVIS",JENNIFER.DAVIS@sakilacustomer.org,Active,5,13.95,4,5,13.95,2,5,13.95,2005-08,5,13.95
7,"MARIA MILLER",MARIA.MILLER@sakilacustomer.org,Active,3,16.97,3,3,16.97,1,3,16.97,2005-05,3,16.97
7,"MARIA MILLER",MARIA.MILLER@sakilacustomer.org,Active,3,8.97,3,3,8.97,1,3,8.97,2005-06,3,8.97
7,"MARIA MILLER",MARIA.MILLER@sakilacustomer.org,Active,9,45.91,8,9,45.91,1,9,45.91,2005-07,9,45.91
7,"MARIA MILLER",MARIA.MILLER@sakilacustomer.org,Active,3,9.97,2,3,9.97,1,3,9.97,2005-08,3,9.97
7,"MARIA MILLER",MARIA.MILLER@sakilacustomer.org,Active,2,3.98,2,2,3.98,2,2,3.98,2005-05,2,3.98
7,"MARIA MILLER",MARIA.MILLER@sakilacustomer.org,Active,2,1.98,2,2,1.98,2,2,1.98,2005-06,2,1.98
7,"MARIA MILLER",MARIA.MILLER@sakilacustomer.org,Active,2,13.98,2,2,13.98,2,2,13.98,2005-07,2,13.98
7,"MARIA MILLER",MARIA.MILLER@sakilacustomer.org,Active,9,49.91,6,9,49.91,2,9,49.91,2005-08,9,49.91
8,"SUSAN WILSON",SUSAN.WILSON@sakilacustomer.org,Active,2,10.98,2,2,10.98,1,2,10.98,2005-06,2,10.98
8,"SUSAN WILSON",SUSAN.WILSON@sakilacustomer.org,Active,6,14.94,5,6,14.94,1,6,14.94,2005-07,6,14.94
8,"SUSAN WILSON",SUSAN.WILSON@sakilacustomer.org,Active,3,8.97,2,3,8.97,1,3,8.97,2005-08,3,8.97
8,"SUSAN WILSON",SUSAN.WILSON@sakilacustomer.org,Active,1,6.99,1,1,6.99,2,1,6.99,2005-05,1,6.99
8,"SUSAN WILSON",SUSAN.WILSON@sakilacustomer.org,Active,1,2.99,1,1,2.99,2,1,2.99,2005-06,1,2.99
8,"SUSAN WILSON",SUSAN.WILSON@sakilacustomer.org,Active,6,20.94,6,6,20.94,2,6,20.94,2005-07,6,20.94
8,"SUSAN WILSON",SUSAN.WILSON@sakilacustomer.org,Active,5,26.95,4,5,26.95,2,5,26.95,2005-08,5,26.95
9,"MARGARET MOORE",MARGARET.MOORE@sakilacustomer.org,Active,1,0.99,1,1,0.99,1,1,0.99,2005-05,1,0.99
9,"MARGARET MOORE",MARGARET.MOORE@sakilacustomer.org,Active,4,15.96,4,4,15.96,1,4,15.96,2005-07,4,15.96
9,"MARGARET MOORE",MARGARET.MOORE@sakilacustomer.org,Active,3,11.97,3,3,11.97,1,3,11.97,2005-08,3,11.97
9,"MARGARET MOORE",MARGARET.MOORE@sakilacustomer.org,Active,1,4.99,1,1,4.99,1,1,4.99,2006-02,1,4.99
9,"MARGARET MOORE",MARGARET.MOORE@sakilacustomer.org,Active,2,9.98,2,2,9.98,2,2,9.98,2005-05,2,9.98
9,"MARGARET MOORE",MARGARET.MOORE@sakilacustomer.org,Active,2,12.98,2,2,12.98,2,2,12.98,2005-06,2,12.98
9,"MARGARET MOORE",MARGARET.MOORE@sakilacustomer.org,Active,5,12.95,4,5,12.95,2,5,12.95,2005-07,5,12.95
9,"MARGARET MOORE",MARGARET.MOORE@sakilacustomer.org,Active,5,19.95,3,5,19.95,2,5,19.95,2005-08,5,19.95
10,"DOROTHY TAYLOR",DOROTHY.TAYLOR@sakilacustomer.org,Active,1,4.99,1,1,4.99,1,1,4.99,2005-05,1,4.99
10,"DOROTHY TAYLOR",DOROTHY.TAYLOR@sakilacustomer.org,Active,2,8.98,2,2,8.98,1,2,8.98,2005-06,2,8.98
10,"DOROTHY TAYLOR",DOROTHY.TAYLOR@sakilacustomer.org,Active,7,32.93,5,7,32.93,1,7,32.93,2005-07,7,32.93
10,"DOROTHY TAYLOR",DOROTHY.TAYLOR@sakilacustomer.org,Active,3,14.97,3,3,14.97,1,3,14.97,2005-08,3,14.97
10,"DOROTHY TAYLOR",DOROTHY.TAYLOR@sakilacustomer.org,Active,3,6.97,3,3,6.97,2,3,6.97,2005-06,3,6.97
10,"DOROTHY TAYLOR",DOROTHY.TAYLOR@sakilacustomer.org,Active,4,12.96,4,4,12.96,2,4,12.96,2005-07,4,12.96
10,"DOROTHY TAYLOR",DOROTHY.TAYLOR@sakilacustomer.org,Active,5,17.95,4,5,17.95,2,5,17.95,2005-08,5,17.95
11,"LISA ANDERSON",LISA.ANDERSON@sakilacustomer.org,Active,1,6.99,1,1,6.99,1,1,6.99,2005-05,1,6.99
11,"LISA ANDERSON",LISA.ANDERSON@sakilacustomer.org,Active,2,12.98,2,2,12.98,1,2,12.98,2005-07,2,12.98
11,"LISA ANDERSON",LISA.ANDERSON@sakilacustomer.org,Active,3,12.97,2,3,12.97,1,3,12.97,2005-08,3,12.97
11,"LISA ANDERSON",LISA.ANDERSON@sakilacustomer.org,Active,3,15.97,3,3,15.97,2,3,15.97,2005-06,3,15.97
11,"LISA ANDERSON",LISA.ANDERSON@sakilacustomer.org,Active,9,40.91,7,9,40.91,2,9,40.91,2005-07,9,40.91
11,"LISA ANDERSON",LISA.ANDERSON@sakilacustomer.org,Active,5,15.95,4,5,15.95,2,5,15.95,2005-08,5,15.95
11,"LISA ANDERSON",LISA.ANDERSON@sakilacustomer.org,Active,1,0.99,1,1,0.99,2,1,0.99,2006-02,1,0.99
12,"NANCY THOMAS",NANCY.THOMAS@sakilacustomer.org,Active,2,9.98,2,2,9.98,1,2,9.98,2005-05,2,9.98
12,"NANCY THOMAS",NANCY.THOMAS@sakilacustomer.org,Active,5,20.95,4,5,20.95,1,5,20.95,2005-06,5,20.95
12,"NANCY THOMAS",NANCY.THOMAS@sakilacustomer.org,Active,4,11.96,3,4,11.96,1,4,11.96,2005-07,4,11.96
12,"NANCY THOMAS",NANCY.THOMAS@sakilacustomer.org,Active,3,10.97,3,3,10.97,1,3,10.97,2005-08,3,10.97
12,"NANCY THOMAS",NANCY.THOMAS@sakilacustomer.org,Active,1,5.99,1,1,5.99,2,1,5.99,2005-06,1,5.99
12,"NANCY THOMAS",NANCY.THOMAS@sakilacustomer.org,Active,9,27.91,6,8,27.91,2,9,27.91,2005-07,9,27.91
12,"NANCY THOMAS",NANCY.THOMAS@sakilacustomer.org,Active,4,15.96,3,4,15.96,2,4,15.96,2005-08,4,15.96
13,"KAREN JACKSON",KAREN.JACKSON@sakilacustomer.org,Active,1,2.99,1,1,2.99,1,1,2.99,2005-06,1,2.99
13,"KAREN JACKSON",KAREN.JACKSON@sakilacustomer.org,Active,7,40.93,6,7,40.93,1,7,40.93,2005-07,7,40.93
13,"KAREN JACKSON",KAREN.JACKSON@sakilacustomer.org,Active,3,15.97,3,3,15.97,1,3,15.97,2005-08,3,15.97
13,"KAREN JACKSON",KAREN.JACKSON@sakilacustomer.org,Active,3,16.97,3,3,16.97,2,3,16.97,2005-06,3,16.97
13,"KAREN JACKSON",KAREN.JACKSON@sakilacustomer.org,Active,6,20.94,4,6,20.94,2,6,20.94,2005-07,6,20.94
13,"KAREN JACKSON",KAREN.JACKSON@sakilacustomer.org,Active,7,33.93,4,7,33.93,2,7,33.93,2005-08,7,33.93
14,"BETTY WHITE",BETTY.WHITE@sakilacustomer.org,Active,4,19.96,3,4,19.96,1,4,19.96,2005-05,4,19.96
14,"BETTY WHITE",BETTY.WHITE@sakilacustomer.org,Active,8,32.92,7,8,32.92,1,8,32.92,2005-07,8,32.92
14,"BETTY WHITE",BETTY.WHITE@sakilacustomer.org,Active,5,22.95,5,5,22.95,1,5,22.95,2005-08,5,22.95
14,"BETTY WHITE",BETTY.WHITE@sakilacustomer.org,Active,1,0.99,1,1,0.99,2,1,0.99,2005-05,1,0.99
14,"BETTY WHITE",BETTY.WHITE@sakilacustomer.org,Active,1,4.99,1,1,4.99,2,1,4.99,2005-06,1,4.99
14,"BETTY WHITE",BETTY.WHITE@sakilacustomer.org,Active,4,17.96,2,4,17.96,2,4,17.96,2005-07,4,17.96
14,"BETTY WHITE",BETTY.WHITE@sakilacustomer.org,Active,4,12.96,4,4,12.96,2,4,12.96,2005-08,4,12.96
14,"BETTY WHITE",BETTY.WHITE@sakilacustomer.org,Active,1,4.99,1,1,4.99,2,1,4.99,2006-02,1,4.99
15,"HELEN HARRIS",HELEN.HARRIS@sakilacustomer.org,Active,2,6.98,1,2,6.98,1,2,6.98,2005-06,2,6.98
15,"HELEN HARRIS",HELEN.HARRIS@sakilacustomer.org,Active,5,21.95,5,5,21.95,1,5,21.95,2005-07,5,21.95
15,"HELEN HARRIS",HELEN.HARRIS@sakilacustomer.org,Active,6,36.94,5,6,36.94,1,6,36.94,2005-08,6,36.94
15,"HELEN HARRIS",HELEN.HARRIS@sakilacustomer.org,Active,1,3.98,1,1,3.98,1,1,3.98,2006-02,1,3.98
15,"HELEN HARRIS",HELEN.HARRIS@sakilacustomer.org,Active,1,2.99,1,1,2.99,2,1,2.99,2005-06,1,2.99
15,"HELEN HARRIS",HELEN.HARRIS@sakilacustomer.org,Active,4,18.96,4,4,18.96,2,4,18.96,2005-07,4,18.96
15,"HELEN HARRIS",HELEN.HARRIS@sakilacustomer.org,Active,12,42.88,5,12,42.88,2,12,42.88,2005-08,12,42.88
15,"HELEN HARRIS",HELEN.HARRIS@sakilacustomer.org,Active,1,0.00,1,1,0.00,2,1,0.00,2006-02,1,0.00
16,"SANDRA MARTIN",SANDRA.MARTIN@sakilacustomer.org,Inactive,3,7.97,3,3,7.97,1,3,7.97,2005-05,3,7.97
16,"SANDRA MARTIN",SANDRA.MARTIN@sakilacustomer.org,Inactive,2,14.98,2,2,14.98,1,2,14.98,2005-06,2,14.98
16,"SANDRA MARTIN",SANDRA.MARTIN@sakilacustomer.org,Inactive,7,21.93,6,7,21.93,1,7,21.93,2005-07,7,21.93
16,"SANDRA MARTIN",SANDRA.MARTIN@sakilacustomer.org,Inactive,6,30.94,5,6,30.94,1,6,30.94,2005-08,6,30.94
16,"SANDRA MARTIN",SANDRA.MARTIN@sakilacustomer.org,Inactive,1,2.99,1,1,2.99,2,1,2.99,2005-05,1,2.99
16,"SANDRA MARTIN",SANDRA.MARTIN@sakilacustomer.org,Inactive,2,8.98,2,2,8.98,2,2,8.98,2005-06,2,8.98
16,"SANDRA MARTIN",SANDRA.MARTIN@sakilacustomer.org,Inactive,3,12.97,2,3,12.97,2,3,12.97,2005-07,3,12.97
16,"SANDRA MARTIN",SANDRA.MARTIN@sakilacustomer.org,Inactive,4,17.96,4,4,17.96,2,4,17.96,2005-08,4,17.96
17,"DONNA THOMPSON",DONNA.THOMPSON@sakilacustomer.org,Active,1,4.99,1,1,4.99,1,1,4.99,2005-05,1,4.99
17,"DONNA THOMPSON",DONNA.THOMPSON@sakilacustomer.org,Active,2,10.98,2,2,10.98,1,2,10.98,2005-07,2,10.98
17,"DONNA THOMPSON",DONNA.THOMPSON@sakilacustomer.org,Active,5,19.95,4,5,19.95,1,5,19.95,2005-08,5,19.95
17,"DONNA THOMPSON",DONNA.THOMPSON@sakilacustomer.org,Active,2,5.98,2,2,5.98,2,2,5.98,2005-05,2,5.98
17,"DONNA THOMPSON",DONNA.THOMPSON@sakilacustomer.org,Active,3,20.97,3,3,20.97,2,3,20.97,2005-06,3,20.97
17,"DONNA THOMPSON",DONNA.THOMPSON@sakilacustomer.org,Active,7,32.93,3,7,32.93,2,7,32.93,2005-07,7,32.93
17,"DONNA THOMPSON",DONNA.THOMPSON@sakilacustomer.org,Active,1,2.99,1,1,2.99,2,1,2.99,2005-08,1,2.99
18,"CAROL GARCIA",CAROL.GARCIA@sakilacustomer.org,Active,1,4.99,1,1,4.99,1,1,4.99,2005-05,1,4.99
18,"CAROL GARCIA",CAROL.GARCIA@sakilacustomer.org,Active,3,20.97,3,3,20.97,1,3,20.97,2005-06,3,20.97
18,"CAROL GARCIA",CAROL.GARCIA@sakilacustomer.org,Active,4,13.96,4,4,13.96,1,4,13.96,2005-07,4,13.96
18,"CAROL GARCIA",CAROL.GARCIA@sakilacustomer.org,Active,4,11.96,4,4,11.96,1,4,11.96,2005-08,4,11.96
18,"CAROL GARCIA",CAROL.GARCIA@sakilacustomer.org,Active,2,7.98,2,2,7.98,2,2,7.98,2005-05,2,7.98
18,"CAROL GARCIA",CAROL.GARCIA@sakilacustomer.org,Active,1,4.99,1,1,4.99,2,1,4.99,2005-06,1,4.99
18,"CAROL GARCIA",CAROL.GARCIA@sakilacustomer.org,Active,5,19.95,3,5,19.95,2,5,19.95,2005-07,5,19.95
18,"CAROL GARCIA",CAROL.GARCIA@sakilacustomer.org,Active,2,6.98,2,2,6.98,2,2,6.98,2005-08,2,6.98
19,"RUTH MARTINEZ",RUTH.MARTINEZ@sakilacustomer.org,Active,1,0.99,1,1,0.99,1,1,0.99,2005-05,1,0.99
19,"RUTH MARTINEZ",RUTH.MARTINEZ@sakilacustomer.org,Active,1,2.99,1,1,2.99,1,1,2.99,2005-06,1,2.99
19,"RUTH MARTINEZ",RUTH.MARTINEZ@sakilacustomer.org,Active,3,18.97,3,3,18.97,1,3,18.97,2005-07,3,18.97
19,"RUTH MARTINEZ",RUTH.MARTINEZ@sakilacustomer.org,Active,4,24.96,4,4,24.96,1,4,24.96,2005-08,4,24.96
19,"RUTH MARTINEZ",RUTH.MARTINEZ@sakilacustomer.org,Active,5,25.95,5,5,25.95,2,5,25.95,2005-05,5,25.95
19,"RUTH MARTINEZ",RUTH.MARTINEZ@sakilacustomer.org,Active,2,5.98,2,2,5.98,2,2,5.98,2005-06,2,5.98
19,"RUTH MARTINEZ",RUTH.MARTINEZ@sakilacustomer.org,Active,3,15.97,3,3,15.97,2,3,15.97,2005-07,3,15.97
19,"RUTH MARTINEZ",RUTH.MARTINEZ@sakilacustomer.org,Active,5,29.95,4,5,29.95,2,5,29.95,2005-08,5,29.95
20,"SHARON ROBINSON",SHARON.ROBINSON@sakilacustomer.org,Active,2,4.98,2,2,4.98,1,2,4.98,2005-05,2,4.98
20,"SHARON ROBINSON",SHARON.ROBINSON@sakilacustomer.org,Active,2,8.98,2,2,8.98,1,2,8.98,2005-06,2,8.98
20,"SHARON ROBINSON",SHARON.ROBINSON@sakilacustomer.org,Active,6,29.94,4,6,29.94,1,6,29.94,2005-07,6,29.94
20,"SHARON ROBINSON",SHARON.ROBINSON@sakilacustomer.org,Active,6,15.94,4,6,15.94,1,6,15.94,2005-08,6,15.94
20,"SHARON ROBINSON",SHARON.ROBINSON@sakilacustomer.org,Active,1,6.99,1,1,6.99,2,1,6.99,2005-05,1,6.99
20,"SHARON ROBINSON",SHARON.ROBINSON@sakilacustomer.org,Active,2,5.98,2,2,5.98,2,2,5.98,2005-06,2,5.98
20,"SHARON ROBINSON",SHARON.ROBINSON@sakilacustomer.org,Active,4,12.96,3,4,12.96,2,4,12.96,2005-07,4,12.96
20,"SHARON ROBINSON",SHARON.ROBINSON@sakilacustomer.org,Active,7,29.93,6,7,29.93,2,7,29.93,2005-08,7,29.93
21,"MICHELLE CLARK",MICHELLE.CLARK@sakilacustomer.org,Active,3,8.97,3,3,8.97,1,3,8.97,2005-05,3,8.97
21,"MICHELLE CLARK",MICHELLE.CLARK@sakilacustomer.org,Active,3,12.97,2,3,12.97,1,3,12.97,2005-06,3,12.97
21,"MICHELLE CLARK",MICHELLE.CLARK@sakilacustomer.org,Active,4,8.96,4,4,8.96,1,4,8.96,2005-07,4,8.96
21,"MICHELLE CLARK",MICHELLE.CLARK@sakilacustomer.org,Active,10,37.90,7,9,37.90,1,10,37.90,2005-08,10,37.90
21,"MICHELLE CLARK",MICHELLE.CLARK@sakilacustomer.org,Active,2,18.98,2,2,18.98,2,2,18.98,2005-06,2,18.98
21,"MICHELLE CLARK",MICHELLE.CLARK@sakilacustomer.org,Active,5,22.95,5,5,22.95,2,5,22.95,2005-07,5,22.95
21,"MICHELLE CLARK",MICHELLE.CLARK@sakilacustomer.org,Active,7,41.93,5,7,41.93,2,7,41.93,2005-08,7,41.93
21,"MICHELLE CLARK",MICHELLE.CLARK@sakilacustomer.org,Active,1,2.99,1,1,2.99,2,1,2.99,2006-02,1,2.99
22,"LAURA RODRIGUEZ",LAURA.RODRIGUEZ@sakilacustomer.org,Active,2,13.98,2,2,13.98,1,2,13.98,2005-05,2,13.98
22,"LAURA RODRIGUEZ",LAURA.RODRIGUEZ@sakilacustomer.org,Active,1,2.99,1,1,2.99,1,1,2.99,2005-06,1,2.99
22,"LAURA RODRIGUEZ",LAURA.RODRIGUEZ@sakilacustomer.org,Active,3,15.97,3,3,15.97,1,3,15.97,2005-07,3,15.97
22,"LAURA RODRIGUEZ",LAURA.RODRIGUEZ@sakilacustomer.org,Active,2,10.98,2,2,10.98,1,2,10.98,2005-08,2,10.98
22,"LAURA RODRIGUEZ",LAURA.RODRIGUEZ@sakilacustomer.org,Active,1,4.99,1,1,4.99,2,1,4.99,2005-05,1,4.99
22,"LAURA RODRIGUEZ",LAURA.RODRIGUEZ@sakilacustomer.org,Active,4,15.96,4,4,15.96,2,4,15.96,2005-07,4,15.96
22,"LAURA RODRIGUEZ",LAURA.RODRIGUEZ@sakilacustomer.org,Active,8,43.92,4,8,43.92,2,8,43.92,2005-08,8,43.92
22,"LAURA RODRIGUEZ",LAURA.RODRIGUEZ@sakilacustomer.org,Active,1,4.99,1,1,4.99,2,1,4.99,2006-02,1,4.99
23,"SARAH LEWIS",SARAH.LEWIS@sakilacustomer.org,Active,3,12.97,3,3,12.97,1,3,12.97,2005-05,3,12.97
23,"SARAH LEWIS",SARAH.LEWIS@sakilacustomer.org,Active,3,13.97,2,3,13.97,1,3,13.97,2005-06,3,13.97
23,"SARAH LEWIS",SARAH.LEWIS@sakilacustomer.org,Active,8,32.92,6,8,32.92,1,8,32.92,2005-07,8,32.92
23,"SARAH LEWIS",SARAH.LEWIS@sakilacustomer.org,Active,5,16.95,4,5,16.95,1,5,16.95,2005-08,5,16.95
23,"SARAH LEWIS",SARAH.LEWIS@sakilacustomer.org,Active,2,2.98,1,2,2.98,2,2,2.98,2005-06,2,2.98
23,"SARAH LEWIS",SARAH.LEWIS@sakilacustomer.org,Active,5,27.95,4,5,27.95,2,5,27.95,2005-07,5,27.95
23,"SARAH LEWIS",SARAH.LEWIS@sakilacustomer.org,Active,3,8.97,2,3,8.97,2,3,8.97,2005-08,3,8.97
23,"SARAH LEWIS",SARAH.LEWIS@sakilacustomer.org,Active,1,2.99,1,1,2.99,2,1,2.99,2006-02,1,2.99
24,"KIMBERLY LEE",KIMBERLY.LEE@sakilacustomer.org,Active,1,2.99,1,1,2.99,1,1,2.99,2005-05,1,2.99
24,"KIMBERLY LEE",KIMBERLY.LEE@sakilacustomer.org,Active,2,10.98,2,2,10.98,1,2,10.98,2005-06,2,10.98
24,"KIMBERLY LEE",KIMBERLY.LEE@sakilacustomer.org,Active,5,11.95,5,5,11.95,1,5,11.95,2005-07,5,11.95
24,"KIMBERLY LEE",KIMBERLY.LEE@sakilacustomer.org,Active,2,6.98,2,2,6.98,1,2,6.98,2005-08,2,6.98
24,"KIMBERLY LEE",KIMBERLY.LEE@sakilacustomer.org,Active,1,6.99,1,1,6.99,2,1,6.99,2005-05,1,6.99
24,"KIMBERLY LEE",KIMBERLY.LEE@sakilacustomer.org,Active,3,13.97,3,3,13.97,2,3,13.97,2005-06,3,13.97
24,"KIMBERLY LEE",KIMBERLY.LEE@sakilacustomer.org,Active,4,14.96,3,4,14.96,2,4,14.96,2005-07,4,14.96
24,"KIMBERLY LEE",KIMBERLY.LEE@sakilacustomer.org,Active,7,26.93,5,7,26.93,2,7,26.93,2005-08,7,26.93
25,"DEBORAH WALKER",DEBORAH.WALKER@sakilacustomer.org,Active,2,11.98,2,2,11.98,1,2,11.98,2005-06,2,11.98
25,"DEBORAH WALKER",DEBORAH.WALKER@sakilacustomer.org,Active,6,21.94,4,6,21.94,1,6,21.94,2005-07,6,21.94
25,"DEBORAH WALKER",DEBORAH.WALKER@sakilacustomer.org,Active,4,12.96,3,4,12.96,1,4,12.96,2005-08,4,12.96
25,"DEBORAH WALKER",DEBORAH.WALKER@sakilacustomer.org,Active,2,10.98,2,2,10.98,2,2,10.98,2005-05,2,10.98
25,"DEBORAH WALKER",DEBORAH.WALKER@sakilacustomer.org,Active,4,21.96,4,4,21.96,2,4,21.96,2005-06,4,21.96
25,"DEBORAH WALKER",DEBORAH.WALKER@sakilacustomer.org,Active,6,17.94,4,6,17.94,2,6,17.94,2005-07,6,17.94
25,"DEBORAH WALKER",DEBORAH.WALKER@sakilacustomer.org,Active,5,17.95,4,5,17.95,2,5,17.95,2005-08,5,17.95
26,"JESSICA HALL",JESSICA.HALL@sakilacustomer.org,Active,2,5.98,2,2,5.98,1,2,5.98,2005-05,2,5.98
26,"JESSICA HALL",JESSICA.HALL@sakilacustomer.org,Active,3,14.97,2,3,14.97,1,3,14.97,2005-06,3,14.97
26,"JESSICA HALL",JESSICA.HALL@sakilacustomer.org,Active,3,10.97,3,3,10.97,1,3,10.97,2005-07,3,10.97
26,"JESSICA HALL",JESSICA.HALL@sakilacustomer.org,Active,6,23.94,4,6,23.94,1,6,23.94,2005-08,6,23.94
